ID,Term,Definition,Extended Notes,Type,Examples,Domain,Sensitivity Level,Misinterpretations,Reality,Related Terms,Tags
11,Anxious Attachment,"A pattern marked by higher sensitivity to rejection and stronger reassurance needs, which can impact desire, initiation, and conflict cycles.","This pattern can intensify validation needs and performance anxiety, especially when communication is ambiguous. Support focuses on clear agreements, consistent reassurance, and self-regulation skills—without using pressure or guilt to secure closeness.",Trait & Disposition,Increased worry after a slow text reply; Seeking reassurance before intimacy feels safe; Pursue-withdraw cycles around closeness.,Emotional & Attachment Patterns,Sensitive,Anxious means needy or manipulative; Anxiety guarantees relationship failure; The partner must provide unlimited reassurance; Anxious attachment excuses boundary violations.,"Anxious Attachment doesn’t mean needy or manipulative.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Support helps, but it isn’t unlimited. Healthy care includes boundaries.; Boundaries still apply. This doesn’t remove limits.",Core Insecurities; Validation; Relational Loops; Consent Frameworks,rejection-sensitivity; anxious-attachment; closeness; reassurance-needs; emotional-attachment-patterns; trait-disposition
12,Archaic Algorithms,"A metaphor for older, evolution-shaped patterns in attention, attraction, and threat detection that still influence modern desire and relationship behavior.","“Archaic algorithms” refers to fast, automatic mental shortcuts—like novelty-seeking, status sensitivity, or danger scanning—that once helped survival but can misfire in today’s social and digital environments. In sexuality, these shortcuts can amplify comparison, performance pressure, or impulsive cue-reactivity. The goal is awareness and choice, not blaming biology.",Framework & Model,Feeling pulled toward novelty even while valuing commitment; Interpreting a partner’s neutral tone as rejection and losing arousal; Becoming more aroused by “forbidden” contexts because they feel high-stakes.,Desire & Arousal,General,Archaic algorithms mean you can’t control your behavior; They justify jealousy or coercion; Everyone’s algorithms are the same; Modern culture has no effect on desire.,Archaic Algorithms isn’t a control tactic. It’s about a metaphor for older evolution-shaped patterns in attention attraction and threat detection.; Jealousy isn’t proof of love. It often signals fear or insecurity.; Not necessarily. It describes a metaphor for older evolution-shaped patterns in attention attraction and threat detection.; It depends. It describes a metaphor for older evolution-shaped patterns in attention attraction and threat detection.,Evolutionary Mismatch; Arousal Accelerator; Arousal Brake; Sexual Script; Desire Cues,novelty-seeking; desire-patterns; desire-arousal; framework-model
13,Archetypal Alignment,"The degree to which a person’s attraction and desire feel “in sync” with recurring symbolic themes (archetypes) they find compelling, such as protector, rebel, nurturer, or explorer.","Archetypal alignment is a way to talk about the stories and roles that make attraction feel meaningful. It can help couples understand why certain dynamics are exciting and others feel flat, without reducing attraction to looks alone. Archetypes are culturally shaped, so the same theme may be expressed differently across regions and media traditions.",Pattern & Dynamic,Someone is most attracted to confident leadership energy and feels bored without it; A person finds tenderness and caretaking deeply erotic; Partners negotiate playful role dynamics that match shared fantasies.,Identity & Attraction,Sensitive,"Archetypes prove there is one “true” partner for you; Alignment is fixed and cannot evolve; Archetypal talk is the same as gender stereotypes; If alignment is low, the relationship has no chance.",It doesn’t guarantee outcomes. It’s one part of the picture.; Alignment isn’t always fixed and cannot evolve. It describes the degree.; It isn’t gender stereotypes. It’s about the degree.; It depends. It’s about the degree.,Fantasy; Desire Cues; Kink Curiosity; Sexual Signature; Relationship Form Preference,desire; attraction-patterns; identity-attraction; pattern-dynamic
14,Arousal,"Physical and mental signs of sexual activation that are biologically driven and do not necessarily reflect desire, attraction, or consent.","Arousal is a physiological and psychological response that can happen automatically and does not necessarily reflect desire, attraction, or willingness. Because arousal can be influenced by context, stress, or biology, it should never be treated as evidence of consent or intent.",State & Experience,Experiencing physical arousal without wanting sex; feeling mentally interested but not physically aroused; arousal triggered by stress or novelty rather than attraction.,Desire & Arousal,Sensitive,"If I am aroused, I must want sex; arousal always means attraction; lack of arousal means lack of interest.",Not necessarily. It’s about physical and mental signs of sexual activation.; It can change. Timing matters.; It doesn’t mean lack of interest. Think of it as physical and mental signs of sexual activation.,Desire; Consent; Libido; Responsive Desire; Spontaneous Desire,consent; sexuality; desire; desire-arousal; state-experience
15,Arousal Accelerator,"Arousal Accelerator refers to internal or external factors that increase, intensify, or support sexual or intimate arousal in certain contexts.","Arousal Accelerator describes conditions that facilitate arousal rather than initiate desire on their own. It is closely related to Desire Trigger and Responsive Arousal, as emotional connection, safety, or stimulation can amplify arousal once engagement begins. Within a relationship assessment platform, arousal accelerators are identified through recurring contexts where arousal reliably increases. The concept helps explain compatibility dynamics by distinguishing supportive conditions from baseline desire levels.",Signal & Cue,Arousal increases during emotionally affirming conversations; Feeling relaxed and unpressured amplifies physical responsiveness; A relationship report highlights emotional closeness as a consistent arousal accelerator,Desire & Arousal,Sensitive,Arousal accelerators mean constant readiness for sex; Arousal accelerators indicate higher libido; Absence of arousal accelerators means lack of attraction,It depends. It describes internal or external factors.; It depends. Think of it as internal or external factors.; It doesn’t mean lack of attraction. It describes internal or external factors.,Desire Trigger; Responsive Arousal; Arousal Brake; Sexual Desire,self-awareness; compatibility-dynamics; relationship-dynamics; sexual-desire; desire-arousal; signal-cue
16,Arousal Brake,"Arousal Brake refers to internal or external factors that slow down, inhibit, or interrupt sexual or intimate arousal in certain contexts.","Arousal Brake describes conditions that reduce arousal even when desire or attraction may be present. It is closely related to Desire Inhibition and Emotional Safety, as stress, pressure, or lack of safety can activate inhibitory responses. Within a relationship assessment platform, arousal brakes are identified through patterns where arousal consistently decreases under specific emotional or situational conditions. The concept helps explain compatibility dynamics by distinguishing inhibition from lack of interest or desire.",Signal & Cue,Arousal decreases during periods of unresolved conflict; Performance pressure interrupts physical responsiveness; A relationship report highlights stress as a recurring arousal brake,Desire & Arousal,Sensitive,Arousal brakes mean no sexual attraction; Arousal brakes indicate personal failure; Arousal brakes are permanent and unchangeable,Not necessarily. It’s about internal or external factors.; This doesn’t mean you’re broken. Many factors can change how it shows up.; Not necessarily. It describes internal or external factors.,Desire Inhibition; Emotional Safety; Responsive Arousal; Sexual Desire,self-awareness; compatibility-dynamics; relationship-dynamics; sexual-desire; desire-arousal; signal-cue
17,Arousal Curve,"A simplified shape of how arousal typically rises and falls over time for a person, including warm-up, peak, and recovery phases.","Arousal curves help people communicate what “too fast” or “too slow” feels like. Curves can change with stress, health, relationship safety, and life stage. Reports should encourage curiosity and experimentation without turning the curve into a rigid rule, and reinforce consent at each phase.",Metric & Measurement,Gradual build with a long plateau; Quick rise and fast drop if interrupted; Multiple waves rather than one peak; Needing recovery time after high intensity.,Desire & Arousal,General,"Arousal should look the same for everyone; One curve is the only healthy curve; If your curve changes, attraction is gone; The curve predicts consent.","That’s not always true. It describes a simplified shape of how arousal typically rises and falls over time.; One curve isn’t always the only healthy curve.; If your curve changes, attraction isn’t always gone.; Consent comes first. Nothing overrides it.",Pacing & Arousal Curve; Spike-Based Arousal; Wave-Based Arousal; State Optimization,couples-communication; sexual-response; arousal-curve; arousal-pattern; desire-arousal; metric-measurement
18,Arousal Map,"Arousal Map refers to a structured representation of the emotional, relational, and situational factors that influence how sexual or intimate arousal emerges for a person","Arousal Map describes how different conditions interact to support or inhibit arousal across contexts. It integrates elements such as Arousal Brake, Arousal Accelerator, and Emotional Intimacy to show patterns rather than single triggers. Within a relationship assessment platform, an arousal map is inferred from recurring responses to stress, connection, and stimulation. The concept helps explain compatibility dynamics by visualizing when arousal is most accessible and when it is constrained.",Framework & Model,"A relationship report visualizes stress as an inhibitor and emotional closeness as a facilitator of arousal; Patterns show arousal emerging mainly during relaxed, connected moments; An assessment highlights different arousal maps between partners",Desire & Arousal,Sensitive,An arousal map determines overall sexual desire; An arousal map is fixed and unchangeable; An arousal map predicts relationship success,That’s not always true. It’s about a structured representation of the emotional relational and situational factors.; An arousal map isn’t always fixed and unchangeable. It’s about a structured representation of the emotional relational and situational factors.; Not necessarily. It’s about a structured representation of the emotional relational and situational factors.,Arousal Window; Arousal Brake; Arousal Accelerator; Responsive Arousal,self-awareness; compatibility-dynamics; relationship-insights; sexual-desire; desire-arousal; framework-model
19,Arousal Non-Concordance,"A common mismatch where genital response and subjective (felt) arousal do not align (the body reacts without desire, or desire exists without strong genital response).","Non-concordance is normal and especially important for consent clarity: genital response is not the same as wanting, agreeing, or feeling safe. Stress, medication, trauma history, context, and meaning can all affect alignment. Reports should use non-shaming language and encourage explicit check-ins rather than assumptions.",Pattern & Dynamic,Lubrication/erection without feeling turned on; Feeling mentally aroused while the body is slow to respond; Genital response fades when anxiety rises even with attraction present.,Consent & Boundaries,Highly Sensitive,"If the body responds, consent is automatic; Non-concordance means you’re broken; It only happens after trauma; Mismatch proves you don’t like your partner.",Consent comes first. Nothing overrides it.; This doesn’t mean you’re broken. Many factors can change how it shows up.; That’s not always true. Think of it as a common mismatch where genital response and subjective arousal do not align.; It depends. Think of it as a common mismatch where genital response and subjective arousal do not align.,Genital; Subjective; Consent Frameworks; Presence vs Performance,consent-clarity; mind-body-mismatch; consent-boundaries; pattern-dynamic
20,Arousal Style,"A person’s typical pattern for how sexual arousal starts, builds, and stays present across different contexts and partners.","Arousal style describes the “how” of getting turned on: pacing, preferred initiation, sensory intensity, and what helps someone stay engaged. It can shift with stress, hormones, health, relationship safety, and life stage, but many people notice repeating themes. Mapping arousal style helps partners reduce guesswork and communicate more clearly about libido, turn-ons, and turn-offs.",Trait & Disposition,Someone needs slow build-up and emotional connection before arousal rises; A person’s arousal spikes quickly with novelty but drops if they feel rushed; Arousal is strongest with cuddling first and plenty of privacy.,Desire & Arousal,Sensitive,Arousal style is the same as sexual orientation; If your arousal style differs from your partner’s you are incompatible; Arousal style never changes; Arousal style can be forced with willpower.,Arousal Style isn’t sexual orientation. It describes a person’s typical pattern for how sexual arousal starts builds and stays.; Difference isn’t automatic incompatibility. Many gaps improve with communication.; It can vary. Context matters.; Not necessarily. It describes a person’s typical pattern for how sexual arousal starts builds and stays.,Arousal; Arousal Map; Spontaneous Desire; Responsive Desire; Turn-On Cues; Turn-Off Cues,global-relationships; sexual-arousal; desire-arousal; trait-disposition
21,Arousal Window,"Arousal Window refers to the range of emotional, mental, and physical conditions in which sexual or intimate arousal is most accessible for a person.","Arousal Window describes when arousal is most likely to emerge rather than how strong desire is overall. It is closely related to Arousal Brake and Arousal Accelerator, as both influence whether conditions fall inside or outside this window. Within a relationship assessment platform, the arousal window is identified by patterns showing optimal timing, emotional state, and context for arousal. The concept helps explain compatibility dynamics by clarifying why arousal may feel available in some situations and blocked in others.",Framework & Model,"Arousal is more accessible during relaxed, emotionally connected moments; Stress narrows the arousal window despite underlying attraction; A relationship report highlights different arousal windows between partners",Desire & Arousal,Sensitive,Arousal window reflects overall sexual desire; Arousal window is fixed and unchangeable; Arousal window determines relationship compatibility,Not necessarily. Think of it as the range of emotional mental and physical conditions.; Arousal window isn’t always fixed and unchangeable. It’s about the range of emotional mental and physical conditions.; It depends. It describes the range of emotional mental and physical conditions.,Arousal Brake; Arousal Accelerator; Responsive Arousal; Sexual Desire,self-awareness; compatibility-dynamics; relationship-insights; sexual-desire; desire-arousal; framework-model
22,Asexuality,A sexual orientation describing people who experience little or no sexual attraction to others.,"Asexuality is a sexual orientation characterized by little or no sexual attraction, but it does not determine someone’s capacity for relationships, intimacy, or emotional closeness. Asexual people may still value romance, partnership, or physical affection in ways that are meaningful to them.",Identity & Orientation,Feeling close to people emotionally but not sexually; enjoying intimacy without sexual attraction; identifying as gray-asexual or demisexual.,Identity & Attraction,Sensitive,Asexual people don’t want relationships; asexuality is caused by trauma or hormones; asexuality means no intimacy at all.,That’s not always true. Think of it as a sexual orientation describing people who experience little or no sexual attraction.; asexuality isn’t always caused by trauma or hormones.; It doesn’t mean no intimacy at all.,Orientation; Libido; Desire; Intimacy,attraction; identity; orientation; spectrum; identity-attraction; identity-orientation
23,Attachment Style,"A common pattern in how people experience closeness, distance, and emotional connection in relationships.","Attachment style describes common patterns in how people relate to closeness, trust, and emotional safety in relationships. These patterns are shaped by experience and context and can evolve over time, especially through reflection, therapy, or secure relationships.",Framework & Model,Wanting frequent reassurance to feel secure; needing space when things feel emotionally intense; feeling comfortable balancing closeness and independence.,Emotional & Attachment Patterns,General,Attachment style is fixed for life; one style is better than others; attachment style explains everything about relationships.,Attachment style isn’t always fixed for life.; one style isn’t always better than others.; This is one factor. It doesn’t explain everything.,Intimacy; Emotional Safety; Trust; Communication,bonding; attachment; relationships; emotional-attachment-patterns; framework-model
24,Attentional Focus,"Where attention naturally goes during intimacy (body sensations, partner cues, thoughts, worries, fantasy), shaping arousal and pleasure.","Attention is a key lever: self-monitoring and worry can activate arousal brakes, while present-moment attention supports pleasure and consent clarity. Reports should keep this practical (reduce distractions, slow down, check-in) and avoid implying people can “force” attention. Cultural factors like privacy and stress exposure affect focus.",Metric & Measurement,Getting distracted by performance thoughts; Feeling most aroused when focused on touch; Using fantasy to stay engaged; Losing arousal when worrying about being judged.,Pleasure & Sexual Wellbeing,General,"Focus problems mean you don’t want your partner; Attention can be controlled instantly; If you think about anything else, consent is unclear; Focus is only a mindfulness issue.","That’s not always true. It describes where attention naturally goes during intimacy shaping arousal and pleasure.; It depends. It’s about where attention naturally goes during intimacy shaping arousal and pleasure.; Consent is required. Without it, stop.; Focus isn’t always only a mindfulness issue. It describes where attention naturally goes during intimacy shaping arousal and pleasure.",Presence vs Performance; Embodied Integration; Performance Anxiety; Flow States,intimacy-quality; mindfulness; performance-anxiety; sexual-presence; pleasure-sexual-wellbeing; metric-measurement
25,Attraction Spectrum,"Attraction Spectrum refers to the range and variability of how attraction is experienced, expressed, and felt across different emotional, physical, or situational contexts.","Attraction Spectrum describes attraction as a continuum rather than a fixed or binary state. It is closely related to Sexual Desire and Emotional Intimacy, as attraction can shift in intensity, focus, or expression over time. Within a relationship assessment platform, the attraction spectrum is inferred from patterns of interest, engagement, and responsiveness across contexts. The concept helps explain compatibility dynamics by distinguishing attraction variability from attraction absence or certainty.",Framework & Model,Attraction feels stronger during periods of emotional closeness; Interest fluctuates depending on context rather than disappearing; A relationship report highlights different attraction patterns between partners,Identity & Attraction,General,Attraction spectrum means uncertainty about attraction; Attraction spectrum reflects lack of commitment; Attraction spectrum defines identity or orientation,Attraction Spectrum doesn’t mean uncertainty about attraction.; That’s not always true. It’s about the range and variability of how attraction is experienced expressed and felt.; It depends. It describes the range and variability of how attraction is experienced expressed and felt.,Sexual Desire; Desire Fluctuation; Emotional Intimacy; Contextual Desire,self-awareness; compatibility-dynamics; relationship-insights; relationship-dynamics; identity-attraction; framework-model
26,Autonomic Nervous System (ANS),"The part of the nervous system that automatically regulates arousal states such as fight/flight, rest/digest, and physiological readiness for intimacy.","The ANS influences sexual response through stress hormones, muscle tone, breathing, and blood flow. When the system reads “unsafe,” inhibition rises; when it reads “safe,” connection and arousal are easier. Understanding the ANS supports practical interventions like reducing stress, improving privacy, and building emotional safety.",Data & Research Method,A person’s desire increases when they feel relaxed and unhurried; Conflict triggers a stress response that makes arousal difficult; Gentle touch and reassurance help someone shift into a calmer state before intimacy.,Desire & Arousal,General,"ANS regulation is the same as “being calm all the time”; If your ANS is activated, you cannot consent; Nervous-system language excuses hurtful behavior; ANS concepts are only relevant for clinical therapy.",Autonomic Nervous System (ANS) isn’t “being calm all the time”. It’s about the part of the nervous system.; Consent comes first. Nothing overrides it.; That’s not always true. Think of it as the part of the nervous system.; That’s not always true. It describes the part of the nervous system.,Polyvagal Theory; Vagus Nerve; Arousal Brake; Emotional Safety; Stress And Desire,sexual-arousal; autonomic-nervous-system; safety-cues; stress-response; desire-arousal; data-research-method
27,Autonomy Need,"Autonomy Need refers to the degree to which a person requires independence, personal space, and self-direction within a relationship.","Autonomy Need reflects how individuals balance closeness with independence in relational dynamics. It is closely connected to Attachment Style and Emotional Intimacy, as differing autonomy preferences influence comfort with proximity, decision-making, and emotional reliance. Within a relationship assessment platform, autonomy need is inferred from patterns around boundaries, responsiveness, and time spent apart. Understanding this need supports relationship insights by clarifying compatibility dynamics without framing independence as emotional distance.",Need & Preference,One partner feels recharged by time alone while remaining emotionally connected; A relationship report highlights mismatched needs for personal space; Communication patterns show tension around availability and independence,Relationship Dynamics & Intimacy,General,Autonomy need means avoiding commitment; Autonomy need signals emotional withdrawal; Autonomy need reduces emotional intimacy,Autonomy Need doesn’t mean avoiding commitment. It’s about the degree.; It depends. It’s about the degree.; Not necessarily. It’s about the degree.,Attachment Style; Emotional Intimacy; Boundary Setting; Communication Patterns,self-awareness; relationship-insights; emotional-intimacy; attachment-patterns; relationship-dynamics-intimacy; need-preference
28,Avoidant Attachment,"A pattern marked by stronger need for independence and privacy, sometimes withdrawing under pressure or emotional intensity.","This pattern often benefits from low-pressure invitations, predictable routines, and respect for space. It does not mean low love or low sexuality; it often means safety increases when autonomy is honored. Reporting should offer consent-friendly reconnection steps and avoid blame.",Trait & Disposition,Needing time alone after conflict; Discomfort with intense emotional conversations during initiation; Prefers gradual escalation and clear boundaries.,Emotional & Attachment Patterns,Sensitive,Avoidant means cold or uncaring; Avoidant people can’t do commitment; The solution is to push for more closeness; Avoidant attachment removes the need for consent clarity.,Avoidant Attachment doesn’t mean cold or uncaring.; That’s not always true. It describes a pattern marked by stronger need for independence and privacy sometimes withdrawing.; The solution isn’t always to push for more closeness.; Comfort and consent lead. Everything else follows.,Emotional Safety; Boundaries; Relational Loops,privacy; autonomy; pacing; emotional-attachment-patterns; trait-disposition
29,Awakening / Exploring,"A stage where curiosity and desire begin to return, and someone explores preferences, turn-ons, and boundaries with growing confidence.","This stage is often marked by learning: naming accelerators/brakes, trying gentle experiments, and improving communication. It benefits from clear consent frameworks and culturally sensitive language that normalizes questions without pushing beyond comfort.",State & Experience,"Trying new ways of initiating without pressure; Exploring fantasy themes as “story,” not demands; Learning which contexts (privacy, time) make arousal easier.","Fantasy, Kink & Exploration",Sensitive,Exploring means you must be adventurous; Exploration equals boundary-pushing; Curiosity proves dissatisfaction with a partner; Exploration removes the need for consent.,Awakening / Exploring doesn’t mean you must be adventurous.; Boundaries still apply. This doesn’t remove limits.; Not necessarily. It describes a stage where curiosity and desire begin to return and someone explores.; Consent comes first. Nothing overrides it.,Curiosity & Exploration Orientation; Consent Frameworks; Reflective Prompts; Arousal Style; Ethical Containment,consent-first; fantasy-kink-exploration; state-experience
