ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
11,Attentional Focus,Metric & Measurement,"Where attention naturally goes during intimacy (body sensations, partner cues, thoughts, worries, fantasy), shaping arousal and pleasure.","Attention is a key lever: self-monitoring and worry can activate arousal brakes, while present-moment attention supports pleasure and consent clarity. Reports should keep this practical (reduce distractions, slow down, check-in) and avoid implying people can “force” attention. Cultural factors like privacy and stress exposure affect focus.",Getting distracted by performance thoughts; Feeling most aroused when focused on touch; Using fantasy to stay engaged; Losing arousal when worrying about being judged.,Pleasure & Sexual Wellbeing,General,"Focus problems mean you don’t want your partner; Attention can be controlled instantly; If you think about anything else, consent is unclear; Focus is only a mindfulness issue.",Presence vs Performance; Embodied Integration; Performance Anxiety; Flow States,attentional-focus; sexual-presence; distraction; performance-anxiety; mindfulness; intimacy-quality
12,Autonomic Nervous System,Data & Research Method,"The body’s automatic regulation system (sympathetic and parasympathetic) that shapes stress, safety, arousal, and sexual responsiveness.","The ANS helps explain why stress can shut down desire (high threat activation) and why safety cues can support arousal and pleasure. It links directly to pacing, presence, and embodied integration. Reports should keep this practical: sleep, privacy, recovery, and emotional safety often matter more than “trying harder.”",Arousal is easier when relaxed and safe; Desire drops during chronic stress; Slow breathing and decompression improve presence before intimacy.,Pleasure & Sexual Wellbeing,General,"The nervous system is an excuse; ANS concepts replace consent; If you regulate stress, desire is guaranteed; ANS means problems are purely biological.",Cortisol; State Optimization; Embodied Integration; Arousal Brake,autonomic-nervous-system; stress-regulation; safety-cues; libido-and-stress; wellbeing
13,Avoidant Attachment,Trait & Disposition,"A report pattern marked by stronger need for independence and privacy, sometimes withdrawing under pressure or emotional intensity.","This pattern often benefits from low-pressure invitations, predictable routines, and respect for space. It does not mean low love or low sexuality; it often means safety increases when autonomy is honored. Reporting should offer consent-friendly reconnection steps and avoid blame.",Needing time alone after conflict; Discomfort with intense emotional conversations during initiation; Prefers gradual escalation and clear boundaries.,Emotional & Attachment Patterns,Sensitive,Avoidant means cold or uncaring; Avoidant people can’t do commitment; The solution is to push for more closeness; Avoidant attachment removes the need for consent clarity.,Quiet Withdrawer; Emotional Safety; Boundaries; Relational Loops,avoidant-attachment; autonomy; privacy; withdraw-pattern; pacing
14,Awakening / Exploring,State & Experience,"A stage where curiosity and desire begin to return, and someone explores preferences, turn-ons, and boundaries with growing confidence.","This stage is often marked by learning: naming accelerators/brakes, trying gentle experiments, and improving communication. It benefits from clear consent frameworks and culturally sensitive language that normalizes questions without pushing beyond comfort.","Trying new ways of initiating without pressure; Exploring fantasy themes as “story,” not demands; Learning which contexts (privacy, time) make arousal easier.","Fantasy, Kink & Exploration",Sensitive,Exploring means you must be adventurous; Exploration equals boundary-pushing; Curiosity proves dissatisfaction with a partner; Exploration removes the need for consent.,Curiosity & Exploration Orientation; Consent Frameworks; Reflective Prompts; Arousal Style; Ethical Containment,awakening; exploring; sexual-curiosity; discovery; consent-first
15,Being Chosen,Signal & Cue,"A desire driver where commitment, exclusivity, and feeling prioritized (emotionally or romantically) increase arousal and satisfaction.","“Being chosen” often shows up as wanting clarity: labels, agreements, and follow-through. It can be especially strong for people with abandonment insecurity or in situationships. Geo context matters because public commitment signals vary by culture; reports should focus on consent-based agreements and consistent actions, not social performance.",Desire rises after exclusivity talk; Feeling aroused by loyalty and devotion; Arousal drops in ambiguous dating stages; Commitment rituals increase safety and desire.,Relationship Dynamics & Intimacy,Sensitive,"Being chosen means controlling a partner; Exclusivity guarantees compatibility; If you need commitment, you’re insecure; Commitment replaces consent in the moment.",Relationship Form Preference; Monogamy; Abandonment Insecurity; Relational Orientation,being-chosen; exclusivity; commitment; relationship-clarity; dating-security; global-relationships
16,Being Safe,Signal & Cue,"A desire driver where emotional and physical safety cues (trust, permission, privacy, non-pressure) are the main pathway into arousal and openness.","This is one of the most universal drivers across cultures: when people feel safe, arousal brakes lessen and presence increases. Safety includes consent clarity, predictable respect for boundaries, and repair after ruptures. Reports should highlight actionable safety cues (tone, pacing, privacy) rather than vague advice.",Desire increases after reassurance and repair; Arousal rises when there’s privacy and time; Pressure kills desire; Clear “no is okay” language supports openness.,Consent & Boundaries,Sensitive,"Needing safety means low attraction; Safety guarantees sex; If you’re in a relationship, safety is automatic; Safety means avoiding all discomfort forever.",Emotional Safety; Consent Frameworks; State Optimization; Trust and Safety Insecurity,being-safe; emotional-safety; consent-first; trust; libido-and-stress; relationship-security
17,Being Seen,Signal & Cue,"A desire driver where feeling noticed, admired, and emotionally recognized strongly increases arousal and satisfaction.","“Being seen” can be sexual (compliments, gaze) or emotional (feeling understood). It often overlaps with validation-based arousal and can be intensified by cultural scripts around shame and desirability. Reports should emphasize consent and boundaries: admiration should never become pressure or evaluation.",Praise and attention increase desire; Feeling desired through eye contact; Arousal rises when a partner names what they appreciate.,Emotional & Attachment Patterns,Sensitive,"Being seen equals needing constant validation; Compliments should override boundaries; If you need to be seen, you’re insecure; Being seen is only about looks.",Validation; Being Chosen; Approval Seeker; Exhibitionist Performer,being-seen; feeling-desired; validation; erotic-attention; intimacy-connection; modern-dating
18,Biochemical Reward System Dynamics,Framework & Model,"How motivation, bonding, and pleasure biology influences desire, attachment, and sexual satisfaction over time.","This report lens often includes dopamine-linked anticipation, bonding chemistry (commonly discussed via oxytocin), and comfort/pleasure pathways (endorphins). It’s useful for explaining why novelty can feel exciting, why safety can increase desire, and why chronic stress can blunt pleasure—without reducing relationships to “just chemicals.”",Desire spikes with anticipation and flirting; Connection increases after affectionate touch and aftercare; Chronic stress lowers libido even with attraction present.,Desire & Arousal,General,"Desire is only biology; Reward dynamics excuse harmful behavior; Novelty is required for long-term love; If chemistry changes, the relationship is doomed.",Dopamine; Oxytocin; Endorphins; Cortisol; Novelty; Reward System Recalibration,biochemical-reward; sexual-neurochemistry; libido-science; bonding; pleasure-system; stress-effects
19,Casual Dating,Identity & Orientation,"Dating with low or no commitment expectations, often focused on getting to know people before deciding on exclusivity.","Casual dating varies by region and community: in some places it implies non-exclusivity by default; in others, people assume early exclusivity. Good practice is explicit communication about expectations, safer-sex, and time/attention boundaries so nobody is surprised.",Seeing multiple people early on; Going on dates without exclusivity; Keeping things light while exploring compatibility.,Relationship Dynamics & Intimacy,General,"Casual dating means no respect or care; Casual dating is always non-exclusive everywhere; Casual dating removes the need for honesty; If it’s casual, people don’t get hurt.",Silent (Assumed) Monogamy; Situationship; Consent Frameworks; Boundaries,casual-dating; dating-stage; nonexclusive-dating; relationship-clarity; global-dating-norms
20,Committed Partnership (Non-Exclusive),Identity & Orientation,A committed relationship where partners maintain emotional partnership while agreeing they are not sexually exclusive.,"This can include different ENM styles (open, polyamory, DADT) but emphasizes commitment as the anchor. The key is making agreements explicit: what counts as outside intimacy, disclosure rules, safer-sex, and how partners protect emotional security.","Committed couple with negotiated outside sex; Partners define “primary commitment” while allowing other connections; Clear rules about time, privacy, and health.",Relationship Dynamics & Intimacy,Sensitive,"Non-exclusivity means no commitment; Commitment makes consent automatic; Outside sex fixes all relationship problems; If you’re committed, boundaries don’t matter.",Open Relationship; Polyamory; Relationship Form Preference; Boundaries; Consent Frameworks,nonexclusive-commitment; committed-open; ethical-nonmonogamy; relationship-agreements; primary-partnership
21,Communication Style,Metric & Measurement,"A report dimension describing how someone naturally communicates needs, boundaries, and intimacy preferences (direct, expressive, reflective, analytical, reserved, persuasive).","Communication style influences consent clarity, conflict repair, and initiation success. Styles are shaped by culture and family norms; none are inherently better. Geo-ready reporting should offer “translation bridges” between styles (e.g., how a reserved person can still give clear consent, how a direct person can soften tone).",One partner prefers clear verbal asks; Another communicates through tone and mood; A couple uses simple check-in phrases to reduce misreads.,Sexual Communication & Initiation,Sensitive,"If your style differs, you’re incompatible; Directness is rude; Reserved means hiding; Persuasive communication is always manipulation.",Initiation & Communication Style; Signal Mismatch; Consent Frameworks; Reflective Prompts,communication-style; intimacy-talk; consent-language; couples-communication; cross-cultural
22,Conditional Desire,Pattern & Dynamic,"A desire pattern where interest in sex depends strongly on specific conditions (safety, privacy, time, mood, health, emotional connection) rather than appearing “spontaneously.”","Conditional desire is often misread as rejection when it’s actually context-dependent arousal. It’s especially common when stress is high or privacy is limited. Reports should translate conditions into practical plans (timing, rituals, decompression) and reinforce that consent is easier when conditions are respected—not negotiated through pressure.",Desire appears on weekends but not weekdays; Needs repair conversation before intimacy; Requires privacy and enough time; Needs decompression after work first.,Desire & Arousal,Sensitive,"Conditional desire is an excuse; If desire is real, it should happen anytime; Conditions mean low attraction; You should push past conditions to “unlock” desire.",State Optimization; Energy Level; Conditional Initiation; Being Safe; Arousal Curve,conditional-desire; responsive-desire; libido-context; intimacy-conditions; stress-and-libido; relationship-planning
23,Conditional Initiation,Pattern & Dynamic,"An initiation subtype where someone initiates only when specific conditions are met (privacy, time, mood, cleanliness, safety, low stress).","Conditional initiation is often about state optimization, not attraction. In many regions, privacy constraints (shared housing, family proximity) strongly shape conditions. The healthiest approach is naming the conditions without blame and co-planning environments that support consent and comfort.",Initiates only when the door is locked and time is available; Needs decompression after work before starting; Prefers planned intimacy windows on weekends.,Sexual Communication & Initiation,Sensitive,"Conditional means rejection; If conditions matter, desire is fake; Conditions are excuses; You should push past conditions to be spontaneous.",State Optimization; Energy Level; Privacy Constraints; Arousal Brake,conditional-initiation; timing; privacy; stress-and-libido; relationship-planning; global-lifestyle
24,Constellation of Archetypes,Framework & Model,A multi-archetype view showing that a person’s sexuality is often best described by a blend of patterns rather than a single label.,"A constellation approach supports nuance: people may be a “Sensual Connector” in long-term relationships but show “Explorer” traits in fantasy, or shift across life stages. This is especially geo-friendly because it avoids rigid identity claims and allows culturally shaped expression of the same core needs.",Top 3 archetypes shown with probabilities; A user identifies with two archetypes depending on context; A report highlights “secondary archetype” to guide next steps.,Product & Assessment,Sensitive,A constellation means the assessment is confused; You must pick only one true archetype; Multiple archetypes mean commitment problems; The blend is permanent and cannot evolve.,Archetype Probability Distributions (Full Signature); Core Archetype; Interpretive Depth; Longitudinal Deltas,constellation; multi-archetype; blended-profile; nuanced-results; culture-aware
25,Context-Sensitive Fantasies,Framework & Model,"Fantasies that change with mood, stress, relationship safety, culture, or life stage—showing that fantasy content is often context-driven rather than fixed.","Context-sensitive fantasies can intensify during stress, shift with novelty, or soften when safety and closeness increase. This concept helps users avoid over-identifying with any single fantasy and supports healthier disclosure (“this is a mood-fantasy, not a request”).","More intense fantasies during stress; Softer, bonding fantasies after repair; Fantasies shift when privacy or novelty changes.","Fantasy, Kink & Exploration",Sensitive,"If your fantasies change, something is wrong; A fantasy is always a request; Context-sensitive means fantasies are meaningless; Fantasies should be acted out to be “real.”",Fantasy Pull; Fantasy–Reality Congruence; Stress And Desire; Emotional Safety,context-sensitive-fantasies; mood-fantasies; fantasy-variation; life-stage; global-context
26,Core Insecurities,Trait & Disposition,"Deep fears about adequacy, desirability, or safety that shape how someone approaches closeness, sex, and conflict.","Core insecurities often drive patterns like reassurance-seeking, avoidance, jealousy, or performance pressure. They’re common and changeable, especially with emotional safety, clear agreements, and non-shaming communication. In reports, the goal is self-awareness and healthier requests—not blame.",Avoiding initiation due to fear of rejection; Needing frequent reassurance to feel relaxed; Getting defensive when receiving feedback about sex.,Emotional & Attachment Patterns,Sensitive,"Insecurity means you’re not ready for a relationship; Insecurities are fixed traits; If you feel insecure, your partner is at fault; Insecurities should be hidden to stay attractive.",Abandonment Insecurity; Engulfment Insecurity; Inadequacy / Performance Insecurity; Trust and Safety Insecurity,core-insecurities; relationship-anxiety; reassurance; jealousy; sexual-confidence
27,Core Motivation,Framework & Model,"A report dimension that summarizes the main reasons someone seeks intimacy (e.g., bonding, validation, novelty, stress relief, pleasure, meaning).","Core Motivation helps explain “what sex is for” in a person’s emotional system, which can differ across cultures, life stages, and relationship structures. Differences in motivation are common friction points: one partner may want reassurance while the other wants play or release. Best practice is to translate motivation into consent-friendly requests and shared rituals.",One partner wants closeness and reassurance; Another wants novelty and excitement; A couple finds their shared motivation is relaxation and reconnection after stress.,Pleasure & Sexual Wellbeing,Sensitive,"There is only one healthy motivation; Motivation equals entitlement; If motivations differ, the relationship won’t work; Motivation is fixed forever.",Motivation for Sexuality; Importance of Sexuality; State-Based Reward; Event-Based Reward; Reflective Prompts,core-motivation; why-we-have-sex; intimacy-drivers; compatibility-insights; global-relationships
28,Cortisol,Data & Research Method,"A stress hormone that rises during chronic pressure and can reduce sexual desire, arousal, and pleasure by activating the body’s “survival mode.”","Cortisol is a useful report concept because it connects libido changes to life context (workload, sleep, conflict, uncertainty). Lowering chronic stress, improving recovery, and increasing safety cues often reduces inhibition and supports desire—without forcing outcomes.",Desire drops during burnout; Arousal is easier on vacation than during deadlines; Conflict increases stress and reduces sexual responsiveness.,Desire & Arousal,General,"Cortisol means your relationship is broken; Stress is an excuse; If you love someone, stress won’t matter; Cortisol explains all sexual problems.",Stress And Desire; Energy Level; Arousal Brake; State Optimization,cortisol; stress-hormone; libido-and-stress; burnout; arousal-brakes
29,Curiosity Level,Metric & Measurement,"A report dimension describing openness to learning, novelty, and exploration in sexuality and relationships, including comfort with trying new ideas at a chosen pace.","Curiosity level isn’t a moral score. High curiosity can drive growth and play; lower curiosity can reflect preference for predictability, cultural values, or safety needs. Best matches come from negotiated pacing, consent clarity, and respect—not persuasion.","Enjoys experimenting with new touch styles; Prefers familiar routines with small tweaks; Likes learning through reading, courses, or guided prompts.","Fantasy, Kink & Exploration",Sensitive,High curiosity means boundary-crossing; Low curiosity means boring; Curiosity should override consent; Curiosity predicts compatibility perfectly.,High Curiosity Orientation; Learning- and Mastery-Driven Curiosity; Progressive Precision; Consent Frameworks,curiosity-level; sexual-exploration; novelty; learning; consent-first; global-relationships
30,Desire Shutdown,Pattern & Dynamic,"A strong reduction or “switch-off” in desire and arousal, often triggered by stress, pressure, conflict, fear, shame, or lack of safety.","Shutdown is often a protective nervous-system response, not a moral choice. It can be temporary (a stressful season) or persistent (chronic conflict, unresolved pain, coercive dynamics). Reports should emphasize non-harm principles, consent, and repair; if coercion, trauma symptoms, or pain are present, qualified support is more important than optimization tips.","Desire disappears when conflict is unresolved; Pressure to perform leads to numbness; After betrayal, arousal is hard to access; Chronic stress keeps the body in “survival mode.”",Consent & Boundaries,Highly Sensitive,"Shutdown means you’re not sexual; Shutdown proves the relationship is over; The solution is to push harder; If you’re in a relationship, you should comply anyway.",Arousal Breaks; Cortisol; Emotional Safety; Repairing / Reconnecting; Non-Harm Principles,desire-shutdown; libido-shutdown; sexual-numbness; stress-response; consent-first; relationship-repair
31,Direct & Assertive,Trait & Disposition,"A communication style marked by clear, explicit language about desires, boundaries, and preferences, often preferring “say it plainly” consent and initiation.","This style can reduce ambiguity and help prevent signal mismatch, especially across cultures. The growth edge is warmth: directness works best with empathy and non-pressure language.","“Do you want to have sex tonight?”; “Slower, please.”; “I’m a no today, but I want cuddling.”",Sexual Communication & Initiation,General,Direct means aggressive; Direct people don’t need emotional context; Directness ruins romance; Directness equals entitlement.,Communication Style; Consent Frameworks; Signal Mismatch,direct-assertive; clear-communication; explicit-consent; boundary-language; relationship-skills
32,Disorganized Attachment,Trait & Disposition,"A report pattern where closeness and safety signals feel inconsistent, leading to mixed approach–avoid behaviors under stress.","This pattern can be linked to confusing relational learning histories and may show up as sudden shifts in desire, trust, or communication. Reports should be especially careful: non-shaming language, strong consent framing, and encouragement to seek qualified support if distress is high.",Inconsistent responses to intimacy; Alternating pursuit and withdrawal; Feeling both drawn to and overwhelmed by closeness.,Emotional & Attachment Patterns,Highly Sensitive,Disorganized means someone is dangerous; This pattern can’t change; It’s only caused by trauma; The label replaces professional support when needed.,Relational Loops; Emotional Safety; Somatic Integration; Non-Harm Principles,disorganized-attachment; mixed-signals; approach-avoid; relationship-stress; support
33,Don’t-Ask-Don’t-Tell (DADT),Identity & Orientation,An open-relationship style where outside connections are permitted but details are intentionally not shared between primary partners.,"DADT can reduce triggers for some people, but it can also create ambiguity if “privacy” becomes “secrecy.” It works best with clear rules: what must be disclosed (health/safety), what stays private, and how consent is maintained. In geo-diverse contexts, DADT sometimes overlaps with discretion needs; the key is that both partners freely agree.",Partners allow outside sex but don’t share details; Disclosure only for safer-sex updates; A couple avoids specifics to protect emotional stability.,Relationship Dynamics & Intimacy,Sensitive,DADT is automatically dishonest; DADT means anything goes; DADT eliminates jealousy; DADT is the same as cheating.,Open Relationship; Boundaries; Consent Frameworks; Safer-Sex Agreements; Trust and Safety Insecurity,dadt; dont-ask-dont-tell; privacy-agreements; open-relationship-rules; discretion; consent-based
34,Dopamine,Data & Research Method,"A neurotransmitter strongly linked to motivation, anticipation, novelty, and “wanting,” which can influence sexual desire and pursuit.","Dopamine often drives pursuit energy (flirting, chasing novelty, anticipation) more than long-term contentment. In reports, it’s best framed as one ingredient: context, safety, and values still shape choices. Overstimulating novelty (including digital novelty) can make slower rewards feel less compelling for some people.",Feeling excited by anticipation before a date; Desire rises with novelty or playful uncertainty; Motivation drops when life feels monotonous or depleted.,Desire & Arousal,General,Dopamine equals love; High dopamine means better relationships; Dopamine explains everything about libido; You can “hack” dopamine to control partners.,Biochemical Reward System Dynamics; Novelty; Event-Based Reward; Reward System Recalibration,dopamine; motivation; anticipation; novelty-seeking; desire-drivers; reward-system
35,Embodied Confidence,Trait & Disposition,"A report pattern where sexual confidence comes from body awareness, comfort with sensation, and ability to pace and communicate in the moment.","Embodied confidence is supported by presence, somatic integration, and consent skills. It often looks like calm self-trust: adjusting touch, slowing down, and naming needs without shame. This can be culturally adaptable because it’s about internal cues, not explicit sexual language.",Comfortably asks for slower touch; Notices tension and pauses; Feels present rather than performing.,Pleasure & Sexual Wellbeing,Sensitive,"Embodied confidence means always wanting sex; Body awareness replaces verbal consent; If you’re embodied, you’ll never feel anxious; Embodied confidence is only for certain “types” of people.",Somatic Integration; Presence vs Performance; Consent Frameworks; Sexual Confidence,embodied-confidence; somatic-safety; self-trust; pleasure-skills; consent-aware
36,Embodiment Style,Metric & Measurement,"A report dimension describing how a person connects to their body in intimacy (sensation-led vs mind-led, soft vs intense, grounded vs dissociated).","Embodiment style shapes pacing, arousal curves, and what helps presence. It can shift with stress, trauma history, body image, health, and relationship safety. Reports should be trauma-aware and non-shaming: the goal is more choice and comfort, not forcing a “right” embodiment.",Feels most present with slow touch and breath; Gets stuck in thoughts and loses sensation; Needs strong sensory input to feel grounded; Benefits from pausing to notice body cues.,Pleasure & Sexual Wellbeing,Sensitive,"Embodiment is fixed; If you’re not embodied, you’re broken; Body awareness replaces verbal consent; Embodiment skills can replace medical care for pain.",Embodied Integration; Attentional Focus; Presence vs Performance; Autonomic Nervous System,embodiment-style; body-awareness; somatic-intimacy; sexual-presence; nervous-system; global-wellbeing
37,Emotion-First Arousal,Pattern & Dynamic,"An arousal pattern where emotional connection, safety, and relational meaning typically spark desire before (or more than) physical stimulation does.","Emotion-first arousal is common across cultures and relationship stages, especially when trust, warmth, and “feeling chosen” are key safety cues. It doesn’t mean someone is “not sexual”—it means emotional attunement is the main accelerator and stress, conflict, or disconnection can be strong brakes. Helpful support includes repair, reassurance, and slow pacing with explicit consent.",Desire rises after a vulnerable conversation; Arousal increases following reassurance or repair; Touch feels best once emotional safety is restored.,Desire & Arousal,Sensitive,"Emotion-first means low libido; If you need emotion, attraction is missing; Emotional arousal makes consent automatic; This pattern can’t change across life stages.",Mind-Led Arousal; Subjective; Repairing / Reconnecting; Emotional Safety; Arousal Style,emotion-first-arousal; emotional-connection; intimacy-safety; desire-triggers; global-relationships
38,Endorphins,Data & Research Method,"Body-produced opioid-like chemicals linked to pleasure, comfort, stress relief, and pain reduction, often contributing to post-intimacy relaxation.","Endorphins can support the “soothing” side of sex and intimacy, especially when touch is safe and consensual. They also help explain why some people use sex for stress relief—and why stress can change what feels rewarding.",Increased relaxation after orgasm or cuddling; Feeling calm and comforted after affectionate touch; Pleasure feels more “soothing” than “thrilling.”,Pleasure & Sexual Wellbeing,General,"Endorphins mean sex is a drug; Endorphins guarantee satisfaction; If you don’t feel relaxed, you did it wrong; Endorphins remove the need for aftercare.",Biochemical Reward System Dynamics; State-Based Reward; Aftercare; Stress And Desire,endorphins; pleasure-chemistry; relaxation; comfort; post-sex-afterglow
