ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
11,Arousal Non-Concordance (Genital–Subjective),Pattern & Dynamic,"A situation where genital arousal and felt mental arousal do not match (for example, the body reacts while the person feels emotionally unaroused—or vice versa).","Non-concordance is common and not a sign of deception or dysfunction on its own. Genital response can be triggered by friction, novelty, or automatic physiology, while subjective arousal depends strongly on meaning, safety, and desire. Understanding non-concordance supports consent clarity: bodily reactions are not the same as wanting or agreeing.",Someone experiences lubrication/erection without feeling desire; A person feels turned on mentally but their body is slow to respond due to stress or medication; Genital response fades when anxiety spikes even though attraction remains.,Consent & Boundaries,Highly Sensitive,"If the body responds, consent is automatic; Non-concordance means you are broken; Non-concordance only happens after trauma; Arousal mismatch proves you don’t like your partner.",Arousal; Consent; Boundaries; Cognitive and Somatic Dissonance; Arousal Brake; Stress And Desire,arousal-nonconcordance; genital-subjective; consent-clarity; mind-body; sexual-response; safety-first
12,Arousal Style,Trait & Disposition,"A person’s typical pattern for how sexual arousal starts, builds, and stays present across different contexts and partners.","Arousal style describes the “how” of getting turned on: pacing, preferred initiation, sensory intensity, and what helps someone stay engaged. It can shift with stress, hormones, health, relationship safety, and life stage, but many people notice repeating themes. Mapping arousal style helps partners reduce guesswork and communicate more clearly about libido, turn-ons, and turn-offs.",Someone needs slow build-up and emotional connection before arousal rises; A person’s arousal spikes quickly with novelty but drops if they feel rushed; Arousal is strongest with cuddling first and plenty of privacy.,Desire & Arousal,Sensitive,Arousal style is the same as sexual orientation; If your arousal style differs from your partner’s you are incompatible; Arousal style never changes; Arousal style can be forced with willpower.,Arousal; Arousal Map; Spontaneous Desire; Responsive Desire; Turn-On Cues; Turn-Off Cues,arousal-style; libido-pattern; sexual-arousal; desire-building; intimacy-compatibility; global-relationships
13,Autonomic Nervous System (ANS),Data & Research Method,"The part of the nervous system that automatically regulates arousal states such as fight/flight, rest/digest, and physiological readiness for intimacy.","The ANS influences sexual response through stress hormones, muscle tone, breathing, and blood flow. When the system reads “unsafe,” inhibition rises; when it reads “safe,” connection and arousal are easier. Understanding the ANS supports practical interventions like reducing stress, improving privacy, and building emotional safety.",A person’s desire increases when they feel relaxed and unhurried; Conflict triggers a stress response that makes arousal difficult; Gentle touch and reassurance help someone shift into a calmer state before intimacy.,Desire & Arousal,General,"ANS regulation is the same as “being calm all the time”; If your ANS is activated, you cannot consent; Nervous-system language excuses hurtful behavior; ANS concepts are only relevant for clinical therapy.",Polyvagal Theory; Vagus Nerve; Arousal Brake; Emotional Safety; Stress And Desire,autonomic-nervous-system; ans; stress-response; sexual-arousal; safety-cues; physiology
14,Base Code (Evolutionary Ethology),Framework & Model,"A shorthand for evolution-informed patterns in mating, bonding, and social behavior that shape human sexuality across many cultures and contexts.","Ethology studies behavior in natural settings; in this glossary, “base code” refers to recurring drives like attachment, status, novelty, pair-bonding, and caregiving. These patterns interact with personal history and culture, so they’re tendencies, not rules. Using the concept responsibly means staying away from stereotypes and focusing on individual variation.",A person feels most bonded after affectionate touch and reassurance; Novelty and anticipation increase arousal for someone even in a long-term relationship; Feeling socially evaluated can lower desire via stress and self-consciousness.,Desire & Arousal,General,"Base code determines your destiny; Evolutionary explanations are always sexist or universally true; If a pattern is “evolutionary,” it’s morally acceptable; Culture and learning don’t matter.",Evolutionary Mismatch; Desire; Attachment Style; Arousal Accelerator; Arousal Brake,evolutionary-ethology; base-code; human-mating; pair-bonding; attraction-patterns; sexual-behavior
15,Biochemical Reward Dynamics,Framework & Model,"How reward-related biology (motivation, bonding, and pleasure systems) influences desire, attraction, and sexual satisfaction over time.","Reward dynamics often involve dopamine-linked motivation, bonding chemistry (often discussed via oxytocin/vasopressin), and comfort/pleasure pathways (endogenous opioids). These systems interact with learning and context, so they do not determine behavior on their own. The concept is useful for explaining why novelty can feel exciting, why safety can increase desire, and why stress can blunt pleasure—across many cultures and life stages.","Anticipation increases desire during dating and early romance; After a supportive conversation, arousal rises because safety cues increase reward value; High chronic stress reduces pleasure and motivation even with attraction present.",Desire & Arousal,General,Sex is only chemicals and nothing else matters; Reward biology excuses harmful behavior; Novelty is required for long-term desire; Biology alone determines compatibility.,Neurochemical “Big Three” (dopamine / oxytocin-vasopressin / endogenous opioids); Limbic System; Evolutionary Hardware; Stress And Desire; Arousal Accelerator,biochemical-reward; sexual-neurochemistry; dopamine; bonding; pleasure-system; libido-science
16,Body Map,Practice & Skill,"A personal map of what kinds of touch, pressure, pace, and context feel pleasurable, neutral, or uncomfortable across different parts of the body.","A body map can be created solo or with a partner as a communication tool. It supports consent by clarifying boundaries and preferences, and it can evolve over time with health, stress, and experience. Because comfort with touch varies across cultures and individuals, body mapping is most useful when it is collaborative and non-judgmental.","Marking areas that feel good with light touch versus firm pressure; Noting that certain touches are enjoyable only when emotionally connected; Updating preferences after childbirth, illness, or a period of stress.",Pleasure & Sexual Wellbeing,Sensitive,"A body map is permanent and should never change; If you have a body map, partners should “know exactly what to do”; Body mapping replaces conversation in the moment; Discomfort means you’re not attracted to your partner.",Arousal Map; Consent; Boundaries; Arousal Window; Aftercare,body-map; touch-preferences; pleasure-mapping; consent-communication; arousal-awareness; sexual-wellbeing
17,Cognitive and Somatic Dissonance,State & Experience,"A mind–body mismatch where thoughts and intentions differ from physical sensations, arousal, or emotional responses in a sexual or intimate context.","People can feel “yes” mentally while their body feels tense, numb, or unresponsive—or the reverse. Dissonance can be shaped by stress, safety cues, past learning, medication, health, or shame, and it is not a moral failure. Tracking the mismatch helps clarify what conditions support comfort, consent, and pleasure.",Wanting to have sex but feeling physically shut down from stress; Being physically aroused while emotionally uncomfortable and choosing to slow down; Feeling affectionate but noticing your body is bracing during touch.,Desire & Arousal,Sensitive,"If your body reacts, you must want it; If you love your partner, your body should always cooperate; Dissonance means you are broken; Dissonance can be solved by “trying harder.”",Arousal; Arousal Brake; Arousal Window; Consent; Aftercare,mind-body-mismatch; cognitive-somatic-dissonance; sexual-arousal; consent-awareness; nervous-system; sexual-wellbeing
18,Cognitive Consonance,State & Experience,"A felt sense of alignment between beliefs, values, and actions that reduces internal conflict and supports ease and integrity in intimacy decisions.","Cognitive consonance often shows up as clarity: people know what they want, what they don't want, and how to communicate it without self-betrayal. It can be strengthened by values clarification, honest agreements, and consent-centered choices. Consonance does not require perfection; it allows complexity while reducing shame-based contradiction.",Feeling calm about a boundary you communicated clearly; Partners agreeing on relationship form and acting consistently with it; Choosing pacing that matches your comfort rather than external expectations.,Emotional & Attachment Patterns,General,"Consonance means never feeling uncertain; If you feel conflict, you are failing; Consonance requires identical values between partners; Consonance is the same as suppression of desire.",Cognitive and Somatic Dissonance; Consent Frameworks; Ethical Constraints; Relationship Form Preference; Emotional Safety,cognitive-consonance; values-alignment; integrity; consent-clarity; self-trust
19,Consent Frameworks,Framework & Model,"Structured models for understanding and communicating consent, boundaries, and mutual agreement before and during intimacy.","Consent frameworks emphasize that consent is informed, freely given, specific, and reversible, and that it should be checked as context changes. They help couples build shared language for pacing, boundaries, and aftercare. Because norms vary across countries and communities, good frameworks also encourage cultural humility while keeping the core principle-no pressure and clear agreement-non-negotiable.","Using a simple ""green/yellow/red"" check-in during intimacy; Agreeing on a safe word and aftercare plan for exploration; Clarifying what ""not tonight"" means and how to reconnect without guilt.",Consent & Boundaries,Sensitive,"Consent is a one-time yes; Consent ruins spontaneity; If you're in a relationship, consent is assumed; Consent is only about legal risk, not mutual care.",Consent; Boundaries; Aftercare; Signal Mismatch; Ethical Constraints,consent-framework; enthusiastic-consent; boundary-setting; safer-intimacy; communication
20,Context-Sensitive Assessments,Framework & Model,"Assessments that interpret answers differently based on relevant context such as relationship stage, cultural norms, stress level, health, or living situation.","Context sensitivity prevents misleading conclusions like treating low desire during burnout as ""low attraction,"" or applying one culture's scripts to another. It often uses branching logic, localized examples, and clear caveats. Done well, it increases fairness and usefulness while keeping core safety standards (consent and non-harm) consistent.","Adjusting interpretation for postpartum, long-distance, or high-stress periods; Offering culture-neutral alternatives for communication prompts; Flagging privacy constraints when living with family or roommates.",Product & Assessment,General,Context is an excuse to ignore patterns; Context-sensitive results can't be compared at all; Context is only about culture and not about life stage; Context eliminates personal responsibility for communication.,Progressive Precision; Interpretive Depth; Cultural Mismatch; Stress And Desire; Gates / Guardrails,context-sensitive; culturally-aware; life-stage; adaptive-insights; fair-assessment
21,Controlled Research Environments,Product Artifact,"Secure settings where researchers can analyze sensitive data under strict access controls, monitoring, and limits on exporting results.","Controlled environments can include secure enclaves, vetted user access, logging, output checking, and “no raw export” rules. They help balance scientific value and privacy protection—especially for international collaborations where cross-border data handling is complex.",A secure enclave that only allows aggregated outputs; Research access via VPN with audit logs; Output review before releasing tables that could reveal rare combinations.,"Data, Privacy & Measurement",General,"Controlled environments are unnecessary if data is anonymized; If researchers are trustworthy, controls aren’t needed; Controls make research impossible; Any controlled environment is automatically compliant everywhere.",Tiered Access Approach; Anonymized Research Access; Gates / Guardrails; Re-Identification Risk,controlled-environment; secure-research; data-enclave; privacy-controls; audited-access; safe-output
22,Core Insecurities,Trait & Disposition,"Deep worries about adequacy, desirability, or safety that can shape intimacy patterns, communication, and sexual response.","Core insecurities often show up as avoidance, reassurance-seeking, jealousy, or performance pressure. They are influenced by attachment history, cultural standards, and past relational experiences. Bringing insecurities into the open—gently and without blame—can reduce arousal brakes and improve relational attunement.",Someone avoids initiating sex out of fear of rejection; A partner needs frequent reassurance about attractiveness; Body image concerns reduce presence during intimacy.,Emotional & Attachment Patterns,Sensitive,"Insecurity means you are not ready for a relationship; Partners should never need reassurance; Insecurities are fixed and cannot heal; If you feel insecure, your partner is doing something wrong.",Attachment Style; Rejection Sensitivity; Validation Need; Body Image Impact; Arousal Brake; Relational Attunement,core-insecurities; attachment; reassurance; jealousy; body-image; intimacy-anxiety
23,Core Modalities,Framework & Model,"The primary channels through which a person most easily experiences desire and pleasure, such as sensory touch, emotional connection, fantasy, novelty, or power dynamics.","Core modalities help translate “what turns me on” into categories that are easier to communicate and experiment with. Many people have multiple modalities, and their weighting can change with stress, safety, and relationship stage. Using modalities well means staying flexible and consent-centered rather than forcing a fixed label.",A person is mainly sensory and needs good touch and pacing; Another person’s strongest modality is fantasy and mental imagery; A couple discovers that emotional connection plus novelty is their most reliable combination.,Desire & Arousal,General,"You only have one modality; Modalities are the same as love languages; If your partner has different modalities, you’re incompatible; Modalities determine what you must do to be “good in bed.”",Arousal Map; Desire; Fantasy; Kink Curiosity; Sexual Signature,core-modalities; pleasure-channels; desire-and-arousal; erotic-preferences; sexual-communication; compatibility
24,Cultural Mismatch,Pattern & Dynamic,"A gap between a person’s desires, relationship needs, or sexual expectations and the cultural norms, scripts, or messages they have learned to follow.","Cultural mismatch often shows up as guilt, confusion, or conflict when personal arousal patterns or intimacy needs don’t neatly fit local norms, family beliefs, or religious messaging. It can happen in any region or community and is especially common in cross-cultural relationships or after migration. Naming the mismatch helps people separate “what I was taught” from “what works for me and my partner(s).”","Someone wants open, direct sexual communication but grew up where sex was never discussed; A couple has different assumptions about monogamy because they were raised in different cultures; A person enjoys touch but feels shame because affectionate behavior was labeled inappropriate at home.",Relationship Dynamics & Intimacy,General,A cultural mismatch means something is wrong with you; Cultural mismatch is only an issue in “traditional” countries; The only solution is to reject your culture entirely; Cultural mismatch can’t be negotiated within a relationship.,Sexual Script; Relationship Form Preference; Boundaries; Desire Discrepancy; Consent,cultural-mismatch; sexual-scripts; relationship-norms; cross-cultural-relationships; intimacy-expectations; sexual-wellbeing
25,Curated Knowledge Base,Product Artifact,"A vetted, maintained library of concepts, definitions, examples, and policies used to keep guidance consistent and safe.","A curated knowledge base is designed for reliability: content is reviewed, updated, versioned, and often localized. It can include a glossary, consent guidelines, communication templates, and cultural notes. In AI-assisted products, curation supports consistency across languages and regions and makes it easier to audit what users are being told.",A glossary of key sexuality and relationship terms; Localized examples that fit different cultural contexts; A policy library that defines what recommendations are allowed.,Product & Assessment,General,"A knowledge base is the same as the open internet; If it's curated, it's complete and always up to date; Curation eliminates the need for user context; A knowledge base can't contain bias.",Retrieval-Augmented Generation (RAG); Pattern Libraries (by Modality); Ethical Constraints; Interpretive Depth; Glossary,curated-knowledge-base; vetted-content; localization; policy-library; glossary
26,Curiosity & Exploration Orientation,Trait & Disposition,"A person’s tendency to explore new ideas, experiences, or dynamics in sexuality and relationships, including openness to learning and experimentation.","High exploration orientation often pairs with play, novelty, and growth mindset, while lower exploration orientation may prioritize predictability, safety, and routine comfort. Neither is superior; compatibility comes from negotiated pace, consent, and boundaries. This trait can be shaped by culture, taboo levels, and prior experiences with safety or judgment.",A couple enjoys learning new ways to communicate about pleasure; Someone is open to gentle experimentation but wants clear stop signals; A person prefers familiar routines and explores slowly over time.,"Fantasy, Kink & Exploration",Sensitive,High curiosity means someone will cross boundaries; Low curiosity means someone is boring; Exploration orientation determines sexual skill; Curiosity should override consent if both are “in love.”,Taboo Curiosity; Role Play; Roleplay Boundaries; Consent; Boundaries; Routine Comfort,curiosity-orientation; sexual-exploration; novelty; growth-mindset; kink-curiosity; consent-first
27,Deterministic Scoring,Metric & Measurement,"A rule-based scoring approach where the same inputs always produce the same outputs using fixed formulas, thresholds, or weights.","Deterministic scoring is valued for transparency and explainability: users can understand how answers map to results. It works well for stable constructs and clear rules (e.g., hard boundaries), but it can miss nuance when context shifts or when measurement noise is high. In global products, deterministic rules often need localization and fairness testing so they don't encode cultural assumptions.",Using fixed dimension weights to compute a compatibility score; Blocking a recommendation when a non-negotiable boundary conflicts; Mapping Likert responses to a 0-100 scale with a consistent formula.,"Data, Privacy & Measurement",General,"Deterministic means accurate; Deterministic means unbiased; Deterministic scoring can replace human judgment and communication; If outputs are fixed, they are universally valid across cultures.",Psychometric Scoring Layer; Dimension Weights; Similarity-Based Scoring; Gates / Guardrails; Normalized Dimension Values,deterministic-scoring; explainable-scores; rule-based; measurement; fairness-testing
28,Dimension Vector (Coordinate Vector),Metric & Measurement,"A set of dimension scores represented as a vector, allowing a person’s profile to be compared mathematically to other profiles or prototypes.","Vectors make it possible to compute similarity, distance, and clustering in a structured way. In a relationship assessment context, a vector might include desire style, communication style, boundaries comfort, and other measured dimensions. Interpretation still matters: vectors summarize patterns, not the full nuance of a human relationship.",Representing a user by scores on 12 dimensions and comparing to partner or archetype; Calculating a similarity score between two profiles; Visualizing a profile as a point in a multi-dimensional space.,"Data, Privacy & Measurement",General,A vector fully captures a person; Vector similarity equals real-life compatibility; More dimensions always means better truth; Vectors are culture-free and need no calibration.,Similarity-Based Scoring; Dimension Weights; Normalized Dimension Values; Compatibility Engine; Alignment Profiles,dimension-vector; coordinate-vector; profile-metrics; similarity; matching-algorithms; relationship-analytics
29,Dimension Weights,Metric & Measurement,Numerical weights that control how much each dimension contributes to an overall score or recommendation in an assessment or matching system.,"Weights reflect product priorities and value judgments (for example, making consent compatibility more important than novelty). They can be fixed, user-adjustable, or learned from data, but they should be tested for fairness and robustness. Transparent weighting improves explainability and helps users understand why they received a result.",A system weights boundaries and consent higher than fantasy similarity; Users choose to prioritize emotional intimacy over novelty; Weighting reduces the impact of a dimension with low reliability.,"Data, Privacy & Measurement",General,Weights are purely objective; Higher weight means the dimension is morally superior; Users should never see weights; Weights can’t be tuned for different cultures or populations.,Similarity-Based Scoring; Validity; Reliability; Gates / Guardrails; Targeted Boosts,dimension-weights; weighting; scoring-model; fairness; personalization; explainable-scoring
30,Direct Identifiers,Data & Research Method,"Data fields that can identify a person on their own, such as full name, exact email address, phone number, or government-issued ID.","Direct identifiers are high-risk for privacy and typically require strict handling: minimization, encryption, access controls, and separation from analytic datasets. Many compliance frameworks (including EU/GDPR-aligned practices) treat direct identifiers as highly sensitive because misuse can cause immediate harm.",Email address stored separately from survey answers; Phone number collected only for account recovery; Removing names before sharing data with analysts.,"Data, Privacy & Measurement",Sensitive,"Removing direct identifiers makes data anonymous; Hashing equals anonymization; If users consent once, direct identifiers can be used for anything; Direct identifiers are safe if stored internally.",Quasi-Identifiers; Re-Identification Risk; Tiered Access Approach; Ethical Constraints,direct-identifiers; pii; personal-data; privacy-controls; gdpr; data-minimization
31,Distribution “Sharpness”,Metric & Measurement,"A measure of how concentrated or decisive a probability distribution is, indicating whether results point strongly to one option or spread across many.",Sharpness is often adjusted with a temperature-like parameter or measured with entropy-based metrics. High sharpness can feel clear but may overstate certainty; low sharpness communicates nuance but may feel less satisfying. Products should pair sharpness with interpretive guidance to prevent overconfidence and reduce mislabeling.,A report notes “high certainty” when one archetype dominates; A broad distribution triggers a suggestion to explore multiple modalities; Changing a sharpness parameter makes results less absolute for early onboarding.,"Data, Privacy & Measurement",General,Sharper is always better; Sharpness proves the model is accurate; Low sharpness means the user lied; Sharpness should be hidden because it’s “too technical.”,Softmax Normalization; Archetype Probability Distribution; Interpretive Depth; Validity; Reliability,distribution-sharpness; entropy; temperature-parameter; confidence-metrics; explainability; model-calibration
32,Dual Control Model of Sexual Response,Framework & Model,"A research-backed model that explains sexual arousal as the balance between excitation (accelerators) and inhibition (brakes), shaped by context, meaning, and safety.","The Dual Control Model is often used to normalize why desire varies: the same person can feel highly sexual in one context and shut down in another. It supports practical troubleshooting by identifying accelerators to add and brakes to reduce, rather than blaming libido or compatibility. The model is used internationally in sex research and therapy, though it should be applied with cultural humility and individual nuance.",A couple improves sex by reducing stress triggers (brakes) and adding playful initiation (accelerators); Someone notices arousal is easier on vacation than during work deadlines; A person realizes privacy concerns are a stronger brake than attraction is an accelerator.,Desire & Arousal,General,"The model means arousal is purely mechanical; If you add enough accelerators, consent is automatic; Brakes are always trauma-related; The model replaces communication about needs and boundaries.",Sexual Excitation System (SES); Sexual Inhibition System (SIS); Arousal Accelerator; Arousal Brake; Desire Discrepancy,dual-control-model; sexual-response; arousal-accelerators; arousal-brakes; libido-variability; sex-research
33,Educational Poverty (Sexual Education Deficit),Pattern & Dynamic,"A widespread lack of accessible, accurate sexual education that leaves people without practical knowledge about bodies, consent, pleasure, and healthy relationships.","This deficit can vary by country, school system, and community norms, but often results in shame, misinformation, and reliance on peers or online content for learning. Addressing it typically involves culturally respectful education that includes consent, anatomy, communication skills, and wellbeing—not only risk prevention.",Adults unsure about anatomy or arousal; Partners lacking shared language for boundaries; People learning “how sex works” mainly from porn or rumors.,Pleasure & Sexual Wellbeing,General,"Sexual education is only about pregnancy and STIs; If you had biology class, you’re fully educated; Education causes risky behavior; The deficit is an individual’s fault.",Systemic Gap in Sexual Education; Sexual Tabooization; Consent Frameworks; Guided Self-Understanding,sexual-education-deficit; sex-ed-gap; consent-skills; anatomy-literacy; global-health; stigma-reduction
34,Embodied Integration,Practice & Skill,"A skill of aligning thoughts, values, and communication with real-time body sensations so intimacy decisions feel grounded, consensual, and present.","Embodied integration builds a bridge between insight and action: noticing tension, breath, and emotional shifts-and adjusting pacing, touch, or boundaries accordingly. It supports pleasure and consent by helping people detect subtle ""yes/no/maybe"" signals early. It is adaptable across cultures because it emphasizes personal signals rather than any single sexual script.",Pausing to notice body tension and asking to slow down; Using breath and grounding to stay present during touch; Naming a shift from curiosity to overwhelm and choosing a different activity.,Pleasure & Sexual Wellbeing,Sensitive,"Embodied work is only for trauma; Body cues should override verbal consent; If you are integrated, sex will always work; Embodied practices replace medical care for persistent symptoms.",Somatic Integration; Autonomic Nervous System (ANS); Cognitive and Somatic Dissonance; Consent; Presence vs Performance,embodied-integration; somatic-skills; body-awareness; consent-clarity; nervous-system
