ID,Term,Type,Definition,Extended Notes,Examples,Domain,Sensitivity Level,Misinterpretations,Related Terms,Tags
11,Attachment Style,Framework & Model,"A common pattern in how people experience closeness, distance, and emotional connection in relationships.","Attachment style describes common patterns in how people relate to closeness, trust, and emotional safety in relationships. These patterns are shaped by experience and context and can evolve over time, especially through reflection, therapy, or secure relationships.",Wanting frequent reassurance to feel secure; needing space when things feel emotionally intense; feeling comfortable balancing closeness and independence.,Emotional & Attachment Patterns,General,Attachment style is fixed for life; one style is better than others; attachment style explains everything about relationships.,Intimacy; Emotional Safety; Trust; Communication,attachment; bonding; relationships; psychology
12,Attraction Spectrum,Framework & Model,"Attraction Spectrum refers to the range and variability of how attraction is experienced, expressed, and felt across different emotional, physical, or situational contexts.","Attraction Spectrum describes attraction as a continuum rather than a fixed or binary state. It is closely related to Sexual Desire and Emotional Intimacy, as attraction can shift in intensity, focus, or expression over time. Within a relationship assessment platform, the attraction spectrum is inferred from patterns of interest, engagement, and responsiveness across contexts. The concept helps explain compatibility dynamics by distinguishing attraction variability from attraction absence or certainty.",Attraction feels stronger during periods of emotional closeness; Interest fluctuates depending on context rather than disappearing; A relationship report highlights different attraction patterns between partners,Identity & Attraction,General,Attraction spectrum means uncertainty about attraction; Attraction spectrum reflects lack of commitment; Attraction spectrum defines identity or orientation,Sexual Desire; Desire Fluctuation; Emotional Intimacy; Contextual Desire,attraction-spectrum; sexual-desire; relationship-dynamics; emotional-intimacy; compatibility-dynamics; relationship-insights; self-awareness
13,Autonomy Need,Need & Preference,"Autonomy Need refers to the degree to which a person requires independence, personal space, and self-direction within a relationship.","Autonomy Need reflects how individuals balance closeness with independence in relational dynamics. It is closely connected to Attachment Style and Emotional Intimacy, as differing autonomy preferences influence comfort with proximity, decision-making, and emotional reliance. Within a relationship assessment platform, autonomy need is inferred from patterns around boundaries, responsiveness, and time spent apart. Understanding this need supports relationship insights by clarifying compatibility dynamics without framing independence as emotional distance.",One partner feels recharged by time alone while remaining emotionally connected; A relationship report highlights mismatched needs for personal space; Communication patterns show tension around availability and independence,Relationship Dynamics & Intimacy,General,Autonomy need means avoiding commitment; Autonomy need signals emotional withdrawal; Autonomy need reduces emotional intimacy,Attachment Style; Emotional Intimacy; Boundary Setting; Communication Patterns,autonomy-need; independence; attachment-patterns; emotional-intimacy; relationship-insights; self-awareness
14,Bias,Metric & Measurement,"A systematic tendency that influences how information is collected, interpreted, or analyzed, often without conscious intent.","Bias refers to systematic influences that can shape how questions are asked, interpreted, or answered. Recognizing bias is essential for producing fair, inclusive, and trustworthy insights rather than assuming neutrality by default.",Survey questions that assume certain experiences are universal; self-reports influenced by social expectations; algorithms trained on non-representative data.,"Data, Privacy & Measurement",General,"Bias means the results are useless; bias always reflects intentional manipulation; only people, not systems, can be biased.",Validity; Reliability,research; data-quality; interpretation
15,Body Image Impact,State & Experience,"Body Image Impact refers to the ways perceptions and feelings about one’s body influence comfort, confidence, and engagement in intimate or relational experiences.","Body Image Impact describes how self-perception shapes emotional presence and responsiveness rather than physical appearance itself. It is closely related to Emotional Safety and Performance Anxiety, as self-consciousness can affect arousal, desire, and openness. Within a relationship assessment platform, body image impact is inferred from patterns where self-awareness or comparison coincides with reduced comfort or enjoyment. The concept helps explain compatibility dynamics by separating internal experience from partner attraction or relational quality.",Intimacy feels less accessible during periods of heightened self-consciousness; A relationship report links body-related concerns to reduced initiation comfort; Emotional closeness increases when focus shifts away from appearance,Emotional & Attachment Patterns,General,Body image impact means lack of attraction from a partner; Body image impact reflects vanity or insecurity alone; Body image impact determines relationship satisfaction,Emotional Safety; Performance Anxiety; Desire Inhibition; Sexual Desire,body-image; sexual-desire; emotional-safety; arousal-patterns; relationship-dynamics; self-awareness; compatibility-dynamics
16,Boundaries,Need & Preference,"Personal limits that define what feels acceptable, safe, and respectful in emotional, physical, or sexual interactions.","Boundaries describe personal limits around comfort, safety, and autonomy that may differ across contexts and relationships. They are not fixed rules and can change over time as needs, trust, or circumstances evolve.",Saying no to certain activities; needing time alone after conflict; setting limits around communication frequency.,Consent & Boundaries,Sensitive,Boundaries are rigid rules; having boundaries means being closed off; boundaries are only about saying no.,Consent; Emotional Safety; Intimacy; Communication,limits; safety; communication
17,Boundary Setting,Practice & Skill,"Boundary Setting refers to the process of defining and communicating personal limits around emotional, physical, or relational engagement.","Boundary Setting describes how limits are established to protect comfort, safety, and autonomy within relationships. It is closely connected to Emotional Safety and Communication Patterns in Relationships, as clear boundaries shape trust and mutual understanding. Within a relationship assessment platform, boundary setting is inferred from patterns of consent, responsiveness, and respect for limits over time. The concept helps explain compatibility dynamics by distinguishing healthy limits from avoidance or disengagement.",A partner communicates a need for personal space during stressful periods; Physical boundaries are clearly stated and consistently respected; A relationship report highlights aligned expectations around emotional availability,Consent & Boundaries,General,Boundary setting means emotional distance; Boundary setting indicates lack of care or commitment; Boundary setting is rigid and unchangeable,Emotional Safety; Autonomy Need; Communication Patterns; Consent Awareness,boundary-setting; emotional-safety; consent; communication-patterns; autonomy; relationship-insights; self-awareness
18,Compatibility Engine,Product Artifact,A system that analyzes patterns in survey responses to identify areas of alignment and difference between people.,"The Compatibility Engine identifies patterns of alignment and difference across multiple dimensions rather than producing a single “match” outcome. It is designed to support reflection and conversation, not to determine relationship success.",Seeing strong alignment in communication style but differences in desire patterns; identifying shared values alongside different emotional needs.,Product & Assessment,General,High compatibility guarantees relationship success; low compatibility means a relationship cannot work; compatibility scores describe the whole relationship.,Match IQ; Sexual Intelligence; Communication; Intimacy,compatibility; assessment; patterns
19,Consent,Practice & Skill,"A voluntary, informed, and ongoing agreement to participate in an activity.","Consent is an ongoing, reversible process that applies to emotional, physical, and sexual interactions. It must be freely given and responsive to changing feelings, rather than assumed based on past behavior or circumstances.",Actively agreeing to an activity; checking in when circumstances change; stopping when someone expresses discomfort.,Consent & Boundaries,Highly Sensitive,Consent is a one-time question; consent is implied by attraction or arousal; consent applies only to sex.,Boundaries; Arousal; Intimacy; Emotional Safety,compatibility; assessment; patterns
20,Contextual Desire,Pattern & Dynamic,"Contextual Desire refers to sexual or intimate desire that emerges primarily in response to specific emotional, relational, or situational conditions rather than being constant.","Contextual Desire describes how desire is activated by circumstances such as emotional connection, safety, timing, or environment. It is closely related to Desire Trigger and Emotional Intimacy, as desire often arises when certain relational conditions are met. Within a relationship assessment platform, contextual desire is identified through patterns showing desire variability across contexts rather than overall intensity. The concept helps explain compatibility dynamics by separating situational activation from baseline sexual desire.",Desire increases during emotionally connected conversations; Intimacy feels more accessible during low-stress periods; A relationship report highlights desire emerging mainly in specific contexts,Desire & Arousal,Sensitive,Contextual desire means low libido; Contextual desire indicates lack of attraction; Contextual desire is inconsistent or unreliable,Desire Trigger; Desire Fluctuation; Emotional Intimacy; Sexual Desire,contextual-desire; sexual-desire; emotional-intimacy; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
21,Curiosity Gap,Pattern & Dynamic,"Curiosity Gap refers to a difference between partners in levels of interest, openness, or motivation to explore emotional, relational, or intimate topics.","Curiosity Gap describes variation in exploratory interest rather than lack of care or connection. It is closely related to Interest Mismatch and Erotic Curiosity, as differences often appear around which topics feel engaging or worthwhile to explore. Within a relationship assessment platform, a curiosity gap is inferred from recurring patterns of engagement, questioning, or avoidance across conversations. The concept helps explain compatibility dynamics by separating curiosity levels from emotional investment or commitment.",One partner enjoys exploring emotional topics while the other prefers familiar ground; A relationship report highlights uneven engagement in intimacy-related discussions; Conversations stall when exploration interests are not shared,Emotional & Attachment Patterns,General,Curiosity gap means lack of interest in the relationship; Curiosity gap reflects incompatibility or misalignment in values; Curiosity gap indicates emotional avoidance,Interest Mismatch; Erotic Curiosity; Mismatch Tolerance; Communication Patterns,curiosity-gap; interest-mismatch; compatibility-dynamics; communication-patterns; relationship-insights; self-awareness
22,Deep Survey,Product Artifact,"A comprehensive set of questions designed to explore sexual preferences, patterns, and relational tendencies.","The Deep Survey prioritizes nuance and reflection over speed, allowing for more complex and emotionally rich responses. It is typically used when depth of understanding is more important than quick engagement.","Answering questions about desire, boundaries, communication, and intimacy across different contexts; reflecting on patterns rather than isolated experiences.",Product & Assessment,General,There are right or wrong answers; answers should reflect ideal behavior rather than reality; results define fixed traits.,Sexual Intelligence; Compatibility Engine; Growth Report — Your Intimacy Journey,survey; self-reflection; patterns
23,Demisexuality,Identity & Orientation,A sexual orientation in which sexual attraction typically develops only after a strong emotional connection.,Demisexuality refers to experiencing sexual attraction primarily after forming a strong emotional bond. It highlights how attraction can depend on connection rather than immediate physical or situational cues.,Not feeling sexual attraction to strangers; attraction emerging only after trust and emotional intimacy are established.,Identity & Attraction,Sensitive,Demisexual people are simply cautious or reserved; demisexuality is a preference rather than an orientation; emotional connection always leads to sexual attraction.,Asexuality; Desire; Responsive Desire; Orientation,orientation; attraction; spectrum
24,Desire,State & Experience,The mental and emotional interest in sexual or intimate activity.,"Desire is influenced by a wide range of emotional, relational, and contextual factors, not just biology. It can fluctuate over time and does not follow a single predictable pattern across people or situations.",Wanting closeness after emotional connection; feeling interested in sex only in certain contexts; noticing desire fluctuate over time.,Desire & Arousal,Sensitive,Desire should always be spontaneous; low desire means low attraction; desire is the same as arousal.,Arousal; Libido; Responsive Desire; Spontaneous Desire,interest; sexuality; motivation
25,Desire Cues,Signal & Cue,"Desire Cues refer to the verbal, nonverbal, or contextual signals through which sexual or intimate interest is expressed or perceived within a relationship.","Desire Cues describe how interest is communicated rather than how much desire exists. They are closely linked to Desire Initiation and Communication Patterns in Relationships, as cues often rely on timing, tone, and subtle behavior. Within a relationship assessment platform, desire cues are inferred from repeated interaction patterns rather than isolated actions. The concept helps explain compatibility dynamics by highlighting differences between how desire is signaled and how it is interpreted.",Sustained eye contact or affectionate humor signals interest; A partner relies on indirect cues rather than explicit initiation; A relationship report highlights mismatched interpretation of desire signals,Sexual Communication & Initiation,Sensitive,Desire cues always indicate readiness for sex; Desire cues are obvious and universal; Absence of desire cues means lack of attraction,Desire Initiation; Desire Trigger; Communication Patterns; Sexual Desire,desire-cues; sexual-communication; emotional-intimacy; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
26,Desire Discrepancy,Pattern & Dynamic,A difference in levels or patterns of sexual desire between partners or within oneself over time.,"Desire discrepancy describes differences in sexual interest or frequency between partners, which are common in long-term relationships. These differences are not inherently problematic but often require communication and mutual understanding.",Partners wanting sex at different frequencies; desire shifting due to stress or life changes; fluctuating desire within the same relationship.,Relationship Dynamics & Intimacy,Sensitive,Desire discrepancy means the relationship is broken; one partner is always at fault; desire levels should naturally match.,Desire; Libido; Intimacy; Communication,mismatch; relationships; desire
27,Desire Fluctuation,Pattern & Dynamic,Desire Fluctuation refers to natural changes in levels of sexual or intimate desire over time or across different emotional and situational contexts.,"Desire Fluctuation describes variability in desire rather than a fixed baseline or permanent shift. It is influenced by Emotional Intimacy and Communication Patterns in Relationships, as emotional connection and stress shape how desire is experienced. Within a relationship assessment platform, desire fluctuation is identified through patterns across time rather than isolated moments. The concept helps explain compatibility dynamics by separating temporary change from overall desire levels.",Desire increases during periods of emotional closeness and decreases during stress; A relationship report highlights differing interpretations of fluctuating desire; Desire varies depending on context rather than remaining constant,Desire & Arousal,Sensitive,Desire fluctuation indicates loss of attraction; Desire fluctuation reflects relationship failure; Desire fluctuation should not occur in healthy relationships,Sexual Desire; Emotional Intimacy; Desire Initiation; Communication Patterns,desire-fluctuation; sexual-desire; emotional-intimacy; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
28,Desire Inhibition,Signal & Cue,"Desire Inhibition refers to internal or relational factors that reduce, suppress, or block the experience or expression of sexual or intimate desire.","Desire Inhibition describes constraints on desire rather than absence of desire itself. It is closely linked to Emotional Safety and Desire Fluctuation, as stress, pressure, or emotional disconnection can dampen desire in specific contexts. Within a relationship assessment platform, desire inhibition is inferred from patterns where desire decreases despite underlying attraction or interest. The concept helps explain compatibility dynamics by separating inhibition from lack of desire or relational dissatisfaction.",Desire decreases during periods of unresolved conflict; Intimacy feels mentally blocked despite emotional connection; A relationship report highlights contextual factors associated with reduced desire,Desire & Arousal,Sensitive,Desire inhibition means no sexual attraction; Desire inhibition reflects personal failure; Desire inhibition is permanent,Sexual Desire; Desire Fluctuation; Emotional Safety; Desire Initiation,desire-inhibition; sexual-desire; emotional-safety; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
29,Desire Initiation,Signal & Cue,"Desire Initiation refers to how sexual or intimate desire is first expressed, signaled, or activated between people in a relationship.","Desire Initiation focuses on the expression of interest rather than the intensity of desire itself. It is shaped by Emotional Intimacy and Initiation Pattern, as comfort with vulnerability and responsiveness influences how desire is communicated. Within a relationship assessment platform, desire initiation is inferred from timing, signals, and emotional context rather than explicit actions alone. The concept helps clarify compatibility dynamics by separating felt desire from how it is shown or received.",Desire is signaled through subtle touch or sustained attention; A relationship report highlights differing expectations around who initiates desire; Desire initiation occurs more often during emotionally connected moments,Sexual Communication & Initiation,Sensitive,Desire initiation reflects overall libido level; Desire initiation determines relationship satisfaction; Desire initiation should be evenly shared at all times,Initiation Pattern; Sexual Desire; Emotional Intimacy; Communication Patterns,desire-initiation; sexual-dynamics; emotional-intimacy; communication-patterns; compatibility-dynamics; relationship-insights; self-awareness
30,Desire Mismatch,Pattern & Dynamic,"Desire Mismatch refers to a difference between partners in levels, timing, or expression of sexual or intimate desire within a relationship.","Desire Mismatch describes a relational difference rather than a problem or deficiency in either person. It is closely related to Desire Fluctuation and Sexual Needs, as desire naturally varies across people and contexts. Within a relationship assessment platform, desire mismatch is identified through recurring patterns of misalignment rather than isolated moments. The concept helps explain compatibility dynamics by separating difference in desire from attraction, care, or relationship quality.",One partner desires intimacy more frequently than the other; Desire peaks at different times for each partner; A relationship report highlights ongoing differences in desire expression,Relationship Dynamics & Intimacy,Sensitive,Desire mismatch means lack of attraction; Desire mismatch indicates relationship failure; Desire mismatch should not exist in healthy relationships,Desire Fluctuation; Sexual Needs; Mismatch Tolerance; Sexual Desire,desire-mismatch; sexual-desire; compatibility-dynamics; relationship-dynamics; relationship-insights; self-awareness
31,Desire Trigger,Signal & Cue,"Desire Trigger refers to a specific emotional, relational, or situational cue that activates or increases sexual or intimate desire.","Desire Trigger describes what tends to initiate desire rather than how strong desire is overall. It is closely related to Desire Initiation and Emotional Intimacy, as desire often emerges in response to feeling connected, relaxed, or emotionally seen. Within a relationship assessment platform, desire triggers are identified by recurring contexts or interactions associated with increased desire. The concept helps clarify compatibility dynamics by distinguishing activation conditions from baseline desire levels.",Desire increases after emotionally meaningful conversations; Feeling appreciated acts as a consistent trigger for intimacy; A relationship report highlights differing desire triggers between partners,Sexual Communication & Initiation,Sensitive,Desire triggers are purely physical; Desire triggers determine overall sexual compatibility; Desire triggers are identical for everyone,Desire Initiation; Emotional Intimacy; Sexual Desire; Desire Fluctuation,desire-trigger; sexual-desire; emotional-intimacy; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
32,Emotional Intimacy,State & Experience,"Emotional Intimacy refers to the degree of mutual openness, trust, and emotional connection experienced between people in a relationship.","Emotional Intimacy reflects how consistently individuals feel seen, understood, and emotionally connected over time. It is shaped by Communication Patterns in Relationships and Attachment Style, which influence how emotions are expressed and received. Within a relationship assessment platform, emotional intimacy is inferred from patterns of disclosure, responsiveness, and emotional repair. The concept supports understanding relationship patterns by distinguishing emotional closeness from physical intimacy or frequency of interaction.",Partners share personal concerns and feel emotionally understood; A relationship report highlights strong emotional intimacy but low conflict tolerance; Ongoing conversations reflect mutual emotional responsiveness,Relationship Dynamics & Intimacy,General,Emotional intimacy means constant emotional sharing; Emotional intimacy is the same as physical intimacy; Emotional intimacy eliminates misunderstandings,Emotional Safety; Vulnerability Tolerance; Attachment Style; Communication Patterns,emotional-intimacy; emotional-connection; attachment-patterns; communication-patterns; relationship-insights; self-awareness
33,Emotional Needs,Need & Preference,"Emotional Needs refer to the core psychological and relational requirements that support a person’s sense of safety, connection, and emotional well-being within relationships.","Emotional Needs describe underlying requirements such as feeling understood, valued, secure, or supported rather than momentary wants. They are closely connected to Emotional Intimacy and Attachment Style, as repeated relational experiences shape how needs are formed and expressed. Within a relationship assessment platform, emotional needs are inferred from patterns in communication, responsiveness, and emotional reactions over time. The concept supports understanding relationship patterns by distinguishing unmet needs from surface-level conflict or behavior.",A partner needs reassurance during periods of uncertainty; Emotional closeness increases when needs for validation are met; A relationship report highlights differing emotional needs between partners,Emotional & Attachment Patterns,General,"""Emotional needs mean being needy or dependent; Emotional needs should be automatically fulfilled by a partner; Emotional needs remain constant across all relationships",Emotional Intimacy; Attachment Style; Validation Need; Relational Attunement,emotional-needs; emotional-intimacy; attachment-patterns; relationship-insights; communication-patterns; self-awareness
34,Emotional Safety,State & Experience,"Emotional Safety refers to the felt sense of being able to express thoughts, emotions, and needs within a relationship without fear of dismissal, punishment, or emotional harm.","Emotional Safety describes a relational condition where vulnerability is met with consistency, respect, and emotional responsiveness. It is closely linked to Emotional Intimacy and Communication Patterns in Relationships, as repeated interactions shape whether openness feels supported or risky. Within a relationship assessment platform, emotional safety is often inferred from patterns of listening, repair, and emotional validation. The concept supports understanding relationship patterns by highlighting how trust and emotional regulation develop over time.",Partners discuss difficult topics without escalating into blame; One person shares uncertainty and receives acknowledgment rather than withdrawal; A relationship report identifies high emotional safety during conflict resolution,Emotional & Attachment Patterns,General,Emotional safety means avoiding conflict entirely; Emotional safety requires constant agreement; Emotional safety guarantees long-term relationship stability,Emotional Intimacy; Trust Building; Communication Patterns; Attachment Style,emotional-safety; emotional-intimacy; communication-patterns; relationship-insights; self-awareness; relationship-assessment
35,Emotional Satisfaction,Metric & Measurement,"Emotional Satisfaction refers to the degree to which a person feels emotionally fulfilled, supported, and understood within a relationship.","Emotional Satisfaction reflects how well emotional needs are met over time rather than momentary emotional states. It is closely connected to Emotional Intimacy and Satisfaction Baseline, as ongoing responsiveness and understanding shape sustained fulfillment. Within a relationship assessment platform, emotional satisfaction is inferred from patterns of connection, validation, and emotional repair. The concept helps explain compatibility dynamics by distinguishing emotional fulfillment from situational happiness or conflict levels.",A partner feels emotionally supported even during challenging conversations; A relationship report highlights steady emotional fulfillment despite external stress; Emotional connection feels consistent across daily interactions,Emotional & Attachment Patterns,General,Emotional satisfaction means constant positive emotion; Emotional satisfaction removes the need for effort or communication; Emotional satisfaction guarantees relationship stability,Emotional Intimacy; Emotional Needs; Satisfaction Baseline; Relationship Satisfaction,emotional-satisfaction; emotional-intimacy; emotional-needs; relationship-insights; compatibility-dynamics; self-awareness
36,Erotic Breakup,Pattern & Dynamic,A process in which sexual connection or desire ends while other aspects of a relationship may continue or transform.,An erotic breakup refers to shifts or endings in sexual dynamics without necessarily ending the relationship itself. It can be intentional or gradual and may open space for renegotiating intimacy in new ways.,Partners transitioning from sexual to non-sexual intimacy; desire fading while emotional closeness remains; redefining relationship boundaries.,Relationship Dynamics & Intimacy,Sensitive,Loss of sexual desire means loss of love; erotic breakup equals relationship breakup; erotic breakup is always negative.,Desire; Intimacy; Boundaries; Desire Discrepancy,desire-change; transitions; intimacy
37,Erotic Curiosity,Trait & Disposition,"Erotic Curiosity refers to an interest in exploring, understanding, or learning about sources of sexual or intimate pleasure within oneself or a relationship.","Erotic Curiosity describes openness to discovery rather than a preference for specific activities or intensity. It is closely related to Novelty Seeking and Emotional Intimacy, as curiosity often emerges when safety and connection are present. Within a relationship assessment platform, erotic curiosity is inferred from patterns of interest, questions, and responsiveness to new experiences. The concept helps explain compatibility dynamics by distinguishing curiosity from experience level or desire frequency.",Partners express interest in learning what feels pleasurable to each other; A relationship report highlights differing levels of openness to exploration; Curiosity increases during periods of emotional closeness,"Fantasy, Kink & Exploration",Sensitive,Erotic curiosity means dissatisfaction with a partner; Erotic curiosity requires constant experimentation; Erotic curiosity indicates higher sexual desire,Novelty Seeking; Emotional Intimacy; Sexual Desire; Desire Trigger,erotic-curiosity; sexual-desire; emotional-intimacy; relationship-dynamics; compatibility-dynamics; relationship-insights; self-awareness
